content,grade
Nulla tempus.,2.4
In sagittis dui vel nisl. Duis ac nibh.,4.0
Sed vel enim sit amet nunc viverra dapibus.,1.8
Aenean lectus. Pellentesque eget nunc.,3.1
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",1.9
Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,3.2
Duis mattis egestas metus. Aenean fermentum.,2.3
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2.0
Etiam pretium iaculis justo. In hac habitasse platea dictumst.,5.0
Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,1.6
In quis justo.,2.4
Ut at dolor quis odio consequat varius. Integer ac leo.,2.0
"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2.8
"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",4.2
Donec ut dolor.,3.1
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",3.9
Morbi vel lectus in quam fringilla rhoncus.,1.3
Etiam faucibus cursus urna.,5.0
Nulla suscipit ligula in lacus.,4.4
Curabitur in libero ut massa volutpat convallis.,2.1
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",3.9
Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1.4
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,4.1
"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",3.4
Mauris lacinia sapien quis libero.,4.7
Praesent blandit. Nam nulla.,3.6
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",3.9
Aliquam non mauris.,1.3
In congue. Etiam justo.,4.1
Vestibulum rutrum rutrum neque.,3.7
Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,2.3
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1.8
In quis justo.,3.7
Curabitur gravida nisi at nibh.,1.3
Nunc purus. Phasellus in felis.,2.3
Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,2.7
Fusce consequat.,5.0
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2.2
Nullam sit amet turpis elementum ligula vehicula consequat.,1.1
Duis consequat dui nec nisi volutpat eleifend.,4.4
Pellentesque viverra pede ac diam.,2.1
Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,4.0
"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1.6
Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,3.1
Proin eu mi. Nulla ac enim.,2.5
Curabitur in libero ut massa volutpat convallis.,4.3
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",4.5
Maecenas pulvinar lobortis est. Phasellus sit amet erat.,1.8
Praesent blandit. Nam nulla.,4.0
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",4.3
Nunc rhoncus dui vel sem. Sed sagittis.,1.2
In eleifend quam a odio. In hac habitasse platea dictumst.,3.3
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1.2
Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,4.5
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4.0
Nulla facilisi.,3.7
Nulla ut erat id mauris vulputate elementum. Nullam varius.,4.9
"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2.4
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4.9
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2.3
Phasellus sit amet erat. Nulla tempus.,1.1
Vestibulum sed magna at nunc commodo placerat.,2.4
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,3.2
Maecenas pulvinar lobortis est. Phasellus sit amet erat.,3.1
Vestibulum rutrum rutrum neque.,2.9
In hac habitasse platea dictumst.,1.2
Etiam pretium iaculis justo.,2.0
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",4.0
Maecenas pulvinar lobortis est.,1.3
Aliquam non mauris. Morbi non lectus.,4.4
In sagittis dui vel nisl. Duis ac nibh.,4.1
In hac habitasse platea dictumst.,3.7
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",4.4
Curabitur at ipsum ac tellus semper interdum.,4.0
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,1.4
"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",3.5
Donec dapibus.,4.3
Aliquam erat volutpat. In congue.,2.0
Nam tristique tortor eu pede.,3.7
Phasellus sit amet erat. Nulla tempus.,4.2
Nullam varius. Nulla facilisi.,1.2
Etiam justo. Etiam pretium iaculis justo.,4.5
Sed accumsan felis. Ut at dolor quis odio consequat varius.,2.8
Integer ac leo.,1.2
Nulla nisl. Nunc nisl.,3.7
In eleifend quam a odio. In hac habitasse platea dictumst.,2.6
Vivamus tortor. Duis mattis egestas metus.,3.0
Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,4.5
Nulla ac enim.,1.3
Vestibulum sed magna at nunc commodo placerat.,3.1
In quis justo. Maecenas rhoncus aliquam lacus.,1.8
Proin at turpis a pede posuere nonummy. Integer non velit.,1.6
Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,3.1
In hac habitasse platea dictumst.,1.7
In sagittis dui vel nisl. Duis ac nibh.,3.3
Nam nulla.,2.3
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",3.1
Nam dui.,2.4
Nulla tellus.,2.0
Maecenas ut massa quis augue luctus tincidunt.,2.2
Ut tellus. Nulla ut erat id mauris vulputate elementum.,1.4
Nam nulla.,3.0
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",4.7
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",2.6
"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2.4
Nulla ut erat id mauris vulputate elementum.,1.0
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",2.3
Aenean fermentum.,4.3
Phasellus sit amet erat.,3.1
Nulla mollis molestie lorem.,1.3
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",3.0
Nulla nisl. Nunc nisl.,3.1
Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1.6
Vivamus vestibulum sagittis sapien.,1.5
Praesent id massa id nisl venenatis lacinia.,3.5
Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,3.1
Nam tristique tortor eu pede.,2.8
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",3.2
Maecenas ut massa quis augue luctus tincidunt.,4.4
Vivamus tortor.,4.6
In congue. Etiam justo.,2.0
Aliquam erat volutpat.,4.8
"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",4.3
"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",3.1
Nulla tellus. In sagittis dui vel nisl.,4.3
"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",5.0
Aliquam sit amet diam in magna bibendum imperdiet.,4.6
Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,4.8
